"排名","名称","guard","laser","magician","总分"
"1","std","100","100","100","300"
"2","fzx","100","85","100","285"
"3","pty","100","80","100","280"
"4","柳子奥","100","40","100","240"
"5","singulet31258","100","35","100","235"
"6","qinhctrcnm","100","25","100","225"
"7","1006JJZ","100","0","100","200"
"8","xlwang","100","45","30","175"
"9","sycqwq","100","45","10","155"
"10","DengYufan","100","35","0","135"
"10","xiaohan","10","25","100","135"
"10","zyc","10","25","100","135"
"13","l-zyq5","100","30","0","130"
"14","houjiacheng","10","0","100","110"
"15","DJQ","10","40","30","80"
"16","wkw","30","35","10","75"
"16","wls","30","35","10","75"
"18","LSL 10 6","0","35","30","65"
"18","longshuai","0","35","30","65"
"18","qhy","10","25","30","65"
"18","qinhaoyuan","10","25","30","65"
"18","qinhaoyuan (2)","10","25","30","65"
"18","ws","10","25","30","65"
"24","XzQ","0","45","10","55"
"24","qujunyi","10","15","30","55"
"26","liuyilin","0","40","10","50"
"27","lcs","10","0","30","40"
"28","1006xhy","0","0","30","30"
"29","XiaoJinYu_10_6","10","0","10","20"
"29","hezewei1006","0","0","20","20"
